table_num,table_name,Item,fiber,period,period_name,value,unit
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2014,calendar year,4769417337,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2015,calendar year,5253882093,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2016,calendar year,5170791895,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2017,calendar year,5344680229,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2018,calendar year,5700157795,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2019,calendar year,5838515157,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2020,calendar year,5149091014,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2021,calendar year,6139746300,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2022,calendar year,6393633609,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2023,calendar year,5234755853,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2024,calendar year,5569543253,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2025,calendar year,5362393051,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,1989,calendar year,3010237607,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,1990,calendar year,3049180117,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,1991,calendar year,3132196544,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,1992,calendar year,3729492910,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,1993,calendar year,4147246419,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,1994,calendar year,4651588519,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,1995,calendar year,4933030224,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,1996,calendar year,5133117747,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,1997,calendar year,6141468057,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,1998,calendar year,7176005754,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,1999,calendar year,7885574900,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2000,calendar year,8871844668,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2001,calendar year,8978517582,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2002,calendar year,9638963260,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2003,calendar year,10697315512,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2004,calendar year,11123352995,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2005,calendar year,11985981676,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2006,calendar year,12301833932,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2007,calendar year,12445605654,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2008,calendar year,11725182906,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2009,calendar year,10655128443,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2010,calendar year,11984863261,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2011,calendar year,11160614551,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2012,calendar year,10832595534,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2013,calendar year,11171558798,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2014,calendar year,11415384601,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2015,calendar year,12136289381,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2016,calendar year,11782285583,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2017,calendar year,11955525008,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2018,calendar year,12594106034,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2019,calendar year,12753452538,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2020,calendar year,10825937837,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2021,calendar year,13714007130,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2022,calendar year,14331883195,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2023,calendar year,11552817444,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2024,calendar year,12484439851,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Total,2025,calendar year,12277572686,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,1989,calendar year,29047132,raw fiber equivalent pounds
